STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000021150,71,PA 272; Oregon pk.,LITITZ CREEK,OREGON IN MANHEIM TOWNSHP,6.0,6.0,6.0,1949.0,10017.0,0.366484,13904,33.7,Low
000000000019689,65,SR1011,MILL CREEK,MILL CREEK NO.1,6.0,6.0,7.0,1936.0,321.0,0.366483,13905,33.7,Low
000000000001674,3,40th Street Bridge,"NSRC, CSX, AVR",40th Street Bridge,7.0,5.0,5.0,1924.0,26091.0,0.36648,13906,33.7,Low
000000000038215,133,WALKER ROAD,TROUT RUN; N.CEN.RR,1 S.GLEN ROCK/RR/RD/CRK,6.0,6.0,4.0,1985.0,224.0,0.366479,13907,33.7,Low
000000000001402,3,GUYS RUN RD,GUYS RUN,1 1/2 MI.N. OF SR 0028,7.0,7.0,7.0,1936.0,3935.0,0.366452,13908,33.7,Low
000000000016860,51,SR 2005,LITTLE SANDY CREEK,WHARTON TOWNSHIP,7.0,8.0,7.0,1996.0,130.0,0.366447,13909,33.7,Low
000000000038077,133,"T370, PENTLAND RD.",EAST BR CODORUS CREEK,.8E CODORUS S P/E.BR.CDR,7.0,7.0,7.0,1996.0,339.0,0.366367,13910,33.7,Low
000000000022957,77,US 22(LR 771),TWP.RD.603* 15TH STREET,15TH ST.INTERCHANGE,7.0,6.0,6.0,1953.0,76351.0,0.366362,13911,33.7,Low
000000000035123,125,SR 4009,RACCOON CREEK,ROBINSON TOWNSHIP,6.0,5.0,6.0,1929.0,1152.0,0.366357,13912,33.7,Low
000000000021031,71,US 30; SR 0030,PA 23 WALNUT ST,INTERSECTION PA23 & US30,7.0,6.0,6.0,1992.0,114612.0,0.366318,13913,33.7,Low
000000000020318,67,T-418 LAUREL RD,LAUREL RUN,2 MI. N OF OAKLAND MILLS,6.0,7.0,6.0,1989.0,50.0,0.36631,13914,33.7,Low
000000000046995,15,T-328 COUNTY BR 17,TOWANDA CREEK,0.2 MI S. INT. SR 414,8.0,7.0,8.0,2011.0,50.0,0.366307,13915,33.7,Low
000000000001966,3,Sewickley Bridge,SR 0051;N&SRR;CSX;OHIO R,Sewickley Bridge,6.0,6.0,6.0,1981.0,26633.0,0.366284,13916,33.7,Low
000000000015424,45,GARRETT AVENUE,SEPTA HIGH SPEED LINE,GARRETT AVENUE     3477G6,7.0,7.0,5.0,1940.0,250.0,0.366178,13917,33.7,Low
000000000018326,59,SR 3001,BISSETT RUN,SPRINGHILL TOWNSHIP,6.0,7.0,5.0,1960.0,113.0,0.366164,13918,33.7,Low
000000000019724,65,SR2025,SANDY LICK CREEK,FULLER,6.0,6.0,6.0,1984.0,446.0,0.366137,13919,33.7,Low
000000000041349,71,PA 283; SR 0300,"PA 741,L'TL CONESTOGA CK",FLORYS MILL,7.0,7.0,7.0,2000.0,69254.0,0.366055,13920,33.7,Low
000000000053518,73,NESHANNOCKFALLS RD,LITTLE NESHANNOCK CREEK,1/2 MI. S.E. OF SR 1005,8.0,8.0,8.0,2016.0,814.0,0.36603,13921,33.7,Low
000000000015425,45,LOWRY'S LANE,SEPTA HIGH SPEED LINE,LOWRY'S LANE       3477G6,6.0,7.0,6.0,1940.0,250.0,0.36599,13922,33.7,Low
000000000026699,89,I-80 EB(LR 1002),POCONO CREEK,0.8 MI. W. OF PA 715,6.0,6.0,6.0,1962.0,22970.0,0.365987,13923,33.6,Low
000000000026897,89,PA 715 (LR 45024),POCONO CREEK,TANNERSVILLE,4.0,4.0,4.0,1956.0,12104.0,0.365976,13924,33.6,Low
000000000030961,107,MOYERS STATION RD.,TRIB.TO U.LIT.SWATARA CK,1 M.N.OF PA 895,6.0,6.0,6.0,1962.0,275.0,0.365939,13925,33.6,Low
000000000029410,97,MAPLE AVENUE,LIMESTONE RUN,MILTON BORO,6.0,7.0,7.0,1990.0,630.0,0.365928,13926,33.6,Low
